id,value_a,value_b,value_c,value_d,value_e,category,subcategory,region,segment,date,flag,metric,score,rank,text,level1,level2,level3,value_ratio,value_sum,value_prod
1,107.45071229516849,43.21505269512778,10.920419458026739,2.2136375542535576,12.907891428367266,C,Z1,South,Enterprise,2022-01-01,False,2.2835890822044713,78.48,34,This is sample text,Group3,Subgroup3,Item3,2.4864186341090093,161.58618444832302,2.3785693196787943
2,97.92603548243223,46.94500536946347,10.611725846673808,2.583879926302035,11.752641820267787,C,X1,Central,Consumer,2022-02-02,True,0.6561658104668802,70.08,22,Another example,Group2,Subgroup4,Item2,2.085973464306612,155.48276669856952,2.5302911734539744
3,109.71532807151038,44.02618938954857,4.2622240529335285,2.2660257553778673,12.871648199050515,D,Z2,South,Education,2022-03-03,True,5.659141181429429,19.88,88,This is sample text,Group2,Subgroup3,Item1,2.4920468837476957,158.00374151399248,2.486177591697748
4,122.84544784612038,51.1041804694612,6.78263894183767,0.8814938105501293,11.601712731831073,A,Y1,North,Education,2022-04-04,True,0.766968148842039,17.98,57,Performance comparison,Group3,Subgroup3,Item4,2.4038238499789712,180.73226725741924,1.0828750193061383
5,96.48769937914996,61.971785314619126,8.368242935142678,2.08437376947102,7.679965028990274,D,Z2,Central,Consumer,2022-05-05,False,0.1364484327472692,21.8,47,Performance comparison,Group1,Subgroup4,Item4,1.556961751050095,166.82772762891176,2.011164296625054
6,96.4879456457623,42.28957842858795,22.174474983068656,8.12111596759276,15.05326602332441,A,Z2,West,Education,2022-06-06,False,0.15612189261491655,31.41,18,Data analysis,Group2,Subgroup2,Item3,2.281601028695429,160.9519990574189,7.8358979606402235
7,123.68819223261087,60.008204977684144,7.022740670579882,3.377276586770254,15.605907347535313,A,X2,South,Enterprise,2022-07-07,False,3.516127823118311,68.27,8,Performance comparison,Group3,Subgroup4,Item4,2.0611880038506074,190.71913788087488,4.177292356871351
8,111.51152093729362,42.183279276531124,5.503201403270036,3.0644530936293037,7.578888494974711,D,Z1,East,Government,2022-08-08,True,0.7665836684537697,36.89,61,Performance comparison,Group1,Subgroup2,Item3,2.643500525558562,159.19800161709477,3.417218253115983
9,92.95788421097572,41.523727875031156,4.660417842567207,0.8500947830434824,8.143428025462956,B,Y2,East,Consumer,2022-09-09,True,2.143045256399886,42.42,85,Machine learning,Group3,Subgroup3,Item3,2.238669044618046,139.14202992857406,0.7902301241051056
10,108.13840065378947,58.18594618343214,4.1939887588171505,0.9774585500759286,8.153798540414991,B,Z1,East,Government,2022-10-10,False,10.448499511301776,4.21,30,This is sample text,Group2,Subgroup3,Item5,1.8584969008303382,170.51833559603875,1.057008043105829
